x-axis,1,2
second,Volt,Volt
-247.0000E-06,,
-246.7500E-06,-177.6884403E-03,-79.6984916E-03
-246.5000E-06,-188.1407015E-03,-73.1658284E-03
-246.2500E-06,-201.2060280E-03,-64.0200998E-03
-246.0000E-06,-223.4170830E-03,-73.1658284E-03
-245.7500E-06,-229.9497463E-03,-77.0854263E-03
-245.5000E-06,-250.8542687E-03,-74.4723610E-03
-245.2500E-06,-262.6130625E-03,-82.3115569E-03
-245.0000E-06,-288.7437155E-03,-66.6331651E-03
-244.7500E-06,-292.6633134E-03,-73.1658284E-03
-244.5000E-06,-303.1155746E-03,-73.1658284E-03
-244.2500E-06,-324.0200970E-03,-73.1658284E-03
-244.0000E-06,-338.3919562E-03,-73.1658284E-03
-243.7500E-06,-344.9246194E-03,-73.1658284E-03
-243.5000E-06,-365.8291418E-03,-71.8592957E-03
-243.2500E-06,-377.5879357E-03,-73.1658284E-03
-243.0000E-06,-397.1859254E-03,-69.2462304E-03
-242.7500E-06,-407.6381866E-03,-73.1658284E-03
-242.5000E-06,-427.2361763E-03,-82.3115569E-03
-242.2500E-06,-429.8492416E-03,-71.8592957E-03
-242.0000E-06,-455.9798946E-03,-73.1658284E-03
-241.7500E-06,-466.4321558E-03,-77.0854263E-03
-241.5000E-06,-480.8040150E-03,-65.3266325E-03
-241.2500E-06,-491.2562761E-03,-64.0200998E-03
-241.0000E-06,-505.6281353E-03,-62.7135672E-03
-240.7500E-06,-516.0803965E-03,-73.1658284E-03
-240.5000E-06,-523.9195924E-03,-64.0200998E-03
-240.2500E-06,-544.8241148E-03,-73.1658284E-03
-240.0000E-06,-553.9698433E-03,-73.1658284E-03
-239.7500E-06,-570.9547678E-03,-66.6331651E-03
-239.5000E-06,-584.0200942E-03,-73.1658284E-03
-239.2500E-06,-595.7788881E-03,-64.0200998E-03
-239.0000E-06,-602.3115513E-03,-62.7135672E-03
-238.7500E-06,-616.6834105E-03,-73.1658284E-03
-238.5000E-06,-625.8291390E-03,-62.7135672E-03
-238.2500E-06,-637.5879329E-03,-71.8592957E-03
-238.0000E-06,-648.0401941E-03,-66.6331651E-03
-237.7500E-06,-665.0251185E-03,-62.7135672E-03
-237.5000E-06,-668.9447165E-03,-62.7135672E-03
-237.2500E-06,-688.5427062E-03,-73.1658284E-03
-237.0000E-06,-696.3819021E-03,-62.7135672E-03
-236.7500E-06,-706.8341633E-03,-66.6331651E-03
-236.5000E-06,-721.2060224E-03,-64.0200998E-03
-236.2500E-06,-731.6582836E-03,-71.8592957E-03
